repo,early_commits,sustained_commits,stars,total_issues,issue_closure_rate,healthy
gabrielfoo/1brc,354,0,0,0,0.0,0
erichaagdev/spring-session,18,0,0,0,0.0,0
syaikhipin/spotube,29,0,0,0,0.0,0
crossXproduct/crossXproduct.github.io,30,9,0,0,0.0,1
GaoNeng-wWw/core-vapor,544,238,0,0,0.0,1
thuankg1752/settings-repository-webstorm-dark,150,376,0,0,0.0,1
nclliu/hackathon,20,0,0,0,0.0,0
lanzhiwang/apache-rocketmq,29,0,0,0,0.0,0
tramleit/honghong.me,352,1739,0,0,0.0,1
mdpiper/kestrel,23,0,0,0,0.0,0
Julienraptor01/sodium-fabric,21,104,0,0,0.0,1
Luciferau/PyQt-Fluent-Widgets,40,9,0,0,0.0,1
Natomac/iotempower,20,562,1,0,0.0,1
cvamsikrishna11/data-engineer-handbook,30,0,0,0,0.0,0
heaven626/LXC_KernelSU_Action,179,2,0,0,0.0,1
Okabe-Junya/ghq,15,77,0,0,0.0,1
lwd-temp/page-spy-web,21,0,0,0,0.0,0
mattraibert/langchainjs,715,695,0,0,0.0,1
JiliDong-NOAA/UPP,22,136,0,0,0.0,1
zzyyuanmi/ACL4SSR-New,20,60,0,0,0.0,1
aksiksi/compose-go,94,52,0,0,0.0,1
drewburr/python-spacetraders,17,0,0,0,0.0,0
bhargavaman/maybe,305,1114,0,0,0.0,1
carapai/scorecard-app,14,1,0,0,0.0,0
amanr-dev/freeCodeCamp,542,3553,0,0,0.0,1
markli404/Yi,104,0,0,0,0.0,0
yixuqiu/thingsboard-thingsboard,735,478,0,0,0.0,1
s0sasaki/invGF99,18,0,0,0,0.0,0
mashhoodrana/CodeVerse__Journey__to__Web__Development,28,0,1,0,0.0,0
nickyreinert/MonitorTrackingCoverage,25,0,0,0,0.0,0
sagarsumant/azure-rest-api-specs,368,957,0,0,0.0,1
rohankrao/risingwave,714,1759,0,0,0.0,1
leothaud/circt,310,1837,0,0,0.0,1
MulleWeb/civetweb,10,163,1,0,0.0,1
yixuqiu/taiga-front,34,0,0,0,0.0,0
qu-bit1/embedchain,54,0,0,0,0.0,0
Lutowski/NovaRoach,1880,6395,0,0,0.0,1
SanthoshCheemala/Adam-I,15,0,0,0,0.0,0
MUAZAlimi/Quickbill,74,0,0,0,0.0,0
Pent/outlines,95,0,1,0,0.0,0
irons28/css-exercises,26,12,0,0,0.0,1
Amos0707/ML,20,0,0,0,0.0,0
iandis/flutter-facebook-auth,22,26,0,0,0.0,1
hodgiers/sunnypilot,818,942,0,0,0.0,1
